sku_id,category,name,mrp,discountpercent,availablequantity,discountedsellingprice,weighingms,outofstock,quantity
265,Fruits & Vegetables,Coccinia,0.32,15.00,3,0.27,250,f,250
266,Fruits & Vegetables,Guava,0.54,16.00,3,0.45,232,f,4
267,Fruits & Vegetables,Apple Washington,1.77,15.00,3,1.49,232,f,4
268,Fruits & Vegetables,Amla,0.32,15.00,3,0.27,250,f,250
269,Fruits & Vegetables,Beans Cluster,0.30,16.00,3,0.25,250,f,250
270,Fruits & Vegetables,Apple Royal Gala,1.89,15.00,3,1.59,232,f,4
271,Fruits & Vegetables,Chilli Bhaji,0.30,16.00,3,0.25,250,f,250
272,Fruits & Vegetables,Lettuce Green,0.23,17.00,3,0.19,100,f,100
273,Fruits & Vegetables,Baby Corn Peeled,0.35,17.00,3,0.29,250,f,250
274,Fruits & Vegetables,Mixed Sprouts,0.35,17.00,3,0.29,200,f,200
275,Fruits & Vegetables,Zucchini Green,0.35,17.00,3,0.29,250,f,250
276,Fruits & Vegetables,Beans Broad,0.42,16.00,3,0.35,250,f,250
277,Fruits & Vegetables,Raw Banana,0.20,15.00,6,0.17,500,f,500
278,Fruits & Vegetables,Colocasia ,0.29,17.00,6,0.24,500,f,500
279,Fruits & Vegetables,Tomato Cherry ,0.35,17.00,3,0.29,200,f,200
280,Fruits & Vegetables,Sweet Potato ,0.38,15.00,3,0.32,500,f,500
281,Fruits & Vegetables,Pineapple Slice,0.89,15.00,3,0.75,200,f,200
282,Fruits & Vegetables,Orange,0.54,16.00,3,0.45,116,f,2
283,Fruits & Vegetables,Dragon Fruit Imported,0.70,15.00,3,0.59,58,f,1
284,Fruits & Vegetables,Zucchini Yellow,0.42,16.00,3,0.35,250,f,500
285,Fruits & Vegetables,Apple Kinnaur,1.42,16.00,6,1.19,232,f,4
286,Fruits & Vegetables,Pineapple,0.94,15.00,3,0.79,58,f,1
287,Fruits & Vegetables,Basil,0.20,15.00,3,0.17,100,f,100
288,Fruits & Vegetables,Parsley,0.17,17.00,3,0.14,100,f,100
289,Fruits & Vegetables,Ridge Gourd,0.30,16.00,3,0.25,500,f,500
290,Fruits & Vegetables,Papaya Cut,0.46,15.00,3,0.39,200,f,200
291,Fruits & Vegetables,Pomegranate Peeled,0.58,15.00,2,0.49,100,f,100
292,Fruits & Vegetables,Pear Green Imported,0.82,15.00,3,0.69,116,f,2
293,Fruits & Vegetables,Guava Thai,0.70,15.00,3,0.59,116,f,2
294,Fruits & Vegetables,Lettuce Red,0.20,15.00,3,0.17,100,f,100
295,Fruits & Vegetables,Mango Raw,0.60,16.00,3,0.50,500,f,500
296,Fruits & Vegetables,Biryani /Pulav Mix,0.58,15.00,3,0.49,250,f,250
297,Fruits & Vegetables,Banana Nendran,0.54,16.00,6,0.45,500,f,500
298,Fruits & Vegetables,Pumpkin Cut,0.30,16.00,3,0.25,200,f,200
299,Fruits & Vegetables,Banana Red,0.54,16.00,6,0.45,500,f,500
